MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
27	CALCIUM ACETAT667 M1	197433	calcium acetate 667 MG Oral Tablet	214342	calcium acetate	V03AE	DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA	V03A	ALL OTHER THERAPEUTIC PRODUCTS	V03	ALL OTHER THERAPEUTIC PRODUCTS	V	VARIOUS
28	LAMICTAL25 MG	105019	lamotrigine 25 MG Oral Tablet [Lamictal]	28439	lamotrigine	N03AX	OTHER ANTIEPILEPTICS	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
29	LITHIUM CARBON300 MG	197889	lithium carbonate 300 MG Oral Capsule	42351	lithium carbonate	N05AN	LITHIUM	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
30	ROBAXIN-750750 MG	197944	methocarbamol 750 MG Oral Tablet	6845	methocarbamol	M03BA	CARBAMIC ACID ESTERS	M03B	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS	M03	MUSCLE RELAXANTS	M	MUSCULO-SKELETAL SYSTEM
31	MINIPRESS2 MG	312594	prazosin 2 MG Oral Capsule	8629	prazosin	C02CA	ALPHA-ADRENORECEPTOR ANTAGONISTS	C02C	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
32	ZOFRAN 8MG TABLE8 MG	312086	ondansetron 8 MG Oral Tablet	26225	ondansetron	A04AA	SEROTONIN (5HT3) ANTAGONISTS	A04A	ANTIEMETICS AND ANTINAUSEANTS	A04	ANTIEMETICS AND ANTINAUSEANTS	A	ALIMENTARY TRACT AND METABOLISM
33	TEGRETOL XR100 MG	199378	12 HR carbamazepine 100 MG Extended Release Oral Tablet	2002	carbamazepine	N03AF	CARBOXAMIDE DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
34	COPPER2 MG	860922	copper gluconate 2 MG Oral Capsule	2839	copper gluconate	NA	NA	NA	NA	NA	NA	NA	NA
35	ONGLYZA5 MG	858036	saxagliptin 5 MG Oral Tablet	857974	saxagliptin	A10BH	DIPEPTIDYL PEPTIDASE 4 (DPP-4) INHIBITORS	A10B	BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
36	PAXIL30 MG	207350	paroxetine hydrochloride 30 MG Oral Tablet [Paxil]	32937	paroxetine	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
37	INSULIN HU100 UNITS1	865098	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	86009	insulin lispro	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
38	INSULIN HU100 UNITS1	865098	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	86009	insulin lispro	A10AC	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
39	INSULIN HU100 UNITS1	865098	insulin lispro 100 UNT/ML Injectable Solution [Humalog]	86009	insulin lispro	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
40	PHOSLO667 M1	359296	calcium acetate 667 MG Oral Capsule	214342	calcium acetate	V03AE	DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA	V03A	ALL OTHER THERAPEUTIC PRODUCTS	V03	ALL OTHER THERAPEUTIC PRODUCTS	V	VARIOUS
41	PERCOCET 5-3251 EAC1	1049221	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet	214183	acetaminophen / oxycodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
42	DEPAKOTE 500MG500 MG	1099871	divalproex sodium 500 MG Delayed Release Oral Tablet [Depakote]	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
43	COMTAN200 MG	261318	entacapone 200 MG Oral Tablet [Comtan]	60307	entacapone	N04BX	OTHER DOPAMINERGIC AGENTS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
44	ZYVOX600 MG BAG	1662286	300 ML linezolid 2 MG/ML Injection [Zyvox]	190376	linezolid	J01XX	OTHER ANTIBACTERIALS	J01X	OTHER ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
45	SODIUM CHLORIDE10 ML	747260	50 ML sodium chloride 9 MG/ML Prefilled Syringe	9863	sodium chloride	A12CA	SODIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
46	LOTREL 5-20 MG1 EACH	898356	amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule	214223	amlodipine / benazepril	C09BB	ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS	C09B	ACE INHIBITORS, COMBINATIONS	C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	C	CARDIOVASCULAR SYSTEM
47	CATAPRES0.3 MG	884189	clonidine hydrochloride 0.3 MG Oral Tablet	2599	clonidine	C02AC	IMIDAZOLINE RECEPTOR AGONISTS	C02A	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
48	CATAPRES0.3 MG	884189	clonidine hydrochloride 0.3 MG Oral Tablet	2599	clonidine	N02CX	OTHER ANTIMIGRAINE PREPARATIONS	N02C	ANTIMIGRAINE PREPARATIONS	N02	ANALGESICS	N	NERVOUS SYSTEM
49	CATAPRES0.3 MG	884189	clonidine hydrochloride 0.3 MG Oral Tablet	2599	clonidine	S01EA	SYMPATHOMIMETICS IN GLAUCOMA THERAPY	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
50	HALDOL5 MG/M1	1719646	1 ML haloperidol 5 MG/ML Injection	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
51	LO LOESTRIN FE1 EACH	1037185	{24 (ethinyl estradiol 0.01 MG / norethindrone acetate 1 MG Oral Tablet) / 2 (ethinyl estradiol 0.01 MG Oral Tablet) / 2 (ferrous fumarate 75 MG Oral Tablet) } Pack [Lo Loestrin Fe 28 Day]	384410	ethinyl estradiol / norethindrone	G03AA	PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS	G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
52	LO LOESTRIN FE1 EACH	1037185	{24 (ethinyl estradiol 0.01 MG / norethindrone acetate 1 MG Oral Tablet) / 2 (ethinyl estradiol 0.01 MG Oral Tablet) / 2 (ferrous fumarate 75 MG Oral Tablet) } Pack [Lo Loestrin Fe 28 Day]	384410	ethinyl estradiol / norethindrone	G03AB	PROGESTOGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS	G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
53	DITROPAN XL5 MG	863636	24 HR oxybutynin chloride 5 MG Extended Release Oral Tablet	32675	oxybutynin	G04BD	DRUGS FOR URINARY FREQUENCY AND INCONTINENCE	G04B	UROLOGICALS	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
54	HUMALOG100 U/M1	1652644	3 ML insulin lispro 100 UNT/ML Cartridge	86009	insulin lispro	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
55	HUMALOG100 U/M1	1652644	3 ML insulin lispro 100 UNT/ML Cartridge	86009	insulin lispro	A10AC	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
56	HUMALOG100 U/M1	1652644	3 ML insulin lispro 100 UNT/ML Cartridge	86009	insulin lispro	A10AD	INSULINS AND ANALOGUES FOR INJECTION, INTERMEDIATE- OR LONG-ACTING COMBINED WITH FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
57	AMBIEN10MG	854873	zolpidem tartrate 10 MG Oral Tablet	39993	zolpidem	N05CF	BENZODIAZEPINE RELATED DRUGS	N05C	HYPNOTICS AND SEDATIVES	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
58	SULFAZINE500 MG	198232	sulfasalazine 500 MG Oral Tablet	9524	sulfasalazine	A07EC	AMINOSALICYLIC ACID AND SIMILAR AGENTS	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
59	CIPROT5001	309309	ciprofloxacin 500 MG Oral Tablet	2551	ciprofloxacin	J01MA	FLUOROQUINOLONES	J01M	QUINOLONE ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
60	CIPROT5001	309309	ciprofloxacin 500 MG Oral Tablet	2551	ciprofloxacin	S01AE	FLUOROQUINOLONES	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
61	CIPROT5001	309309	ciprofloxacin 500 MG Oral Tablet	2551	ciprofloxacin	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
62	CIPROT5001	309309	ciprofloxacin 500 MG Oral Tablet	2551	ciprofloxacin	S03AA	ANTIINFECTIVES	S03A	ANTIINFECTIVES	S03	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	S	SENSORY ORGANS
63	ZOCOR 10MG TABL10 MG	104490	simvastatin 10 MG Oral Tablet [Zocor]	36567	simvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
64	PULMICORT FLE180 MCG	1360402	budesonide 0.18 MG/ACTUAT Dry Powder Inhaler	19831	budesonide	A07EA	CORTICOSTEROIDS ACTING LOCALLY	A07E	INTESTINAL ANTIINFLAMMATORY AGENTS	A07	ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS	A	ALIMENTARY TRACT AND METABOLISM
65	PREDNISONE10 MG	795858	{10 (Prednisone 10 MG Oral Tablet) } Pack	8640	prednisone 10 MG Oral Tablet	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
66	CARAFATE1 G	314234	sucralfate 1000 MG Oral Tablet	10156	sucralfate	A02BX	OTHER DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
67	MUCINEX600 MG	636522	12 HR guaifenesin 600 MG Extended Release Oral Tablet	5032	guaifenesin	R05CA	EXPECTORANTS	R05C	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
68	ATIVAN2 M1	197902	lorazepam 2 MG Oral Tablet	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
69	FLONASE NASAL S16 GM	1797907	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	41126	fluticasone	D07AC	CORTICOSTEROIDS, POTENT (GROUP III)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
70	FLONASE NASAL S16 GM	1797907	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	41126	fluticasone	R01AD	CORTICOSTEROIDS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
71	FLONASE NASAL S16 GM	1797907	fluticasone propionate 0.05 MG/ACTUAT Metered Dose Nasal Spray	41126	fluticasone	R03BA	GLUCOCORTICOIDS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
72	PRAZOSIN 5MG CAP5 M1	198141	prazosin 5 MG Oral Capsule	8629	prazosin	C02CA	ALPHA-ADRENORECEPTOR ANTAGONISTS	C02C	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
73	LEVAQUIN500 MG	211816	levofloxacin 500 MG Oral Tablet [Levaquin]	82122	levofloxacin	J01MA	FLUOROQUINOLONES	J01M	QUINOLONE ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
74	ATIVAN0.5 M1	197900	lorazepam 0.5 MG Oral Tablet	6470	lorazepam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
75	ZOVIRAX 800MG800 MG	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	D06BB	ANTIVIRALS	D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
76	ZOVIRAX 800MG800 MG	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	J05AB	NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS	J05A	DIRECT ACTING ANTIVIRALS	J05	ANTIVIRALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
77	ZOVIRAX 800MG800 MG	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	S01AD	ANTIVIRALS	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
78	SODIUM CHLORIDE10 ML	1661432	5 ML sodium chloride 9 MG/ML Cartridge	9863	sodium chloride	A12CA	SODIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
79	VALPROIC ACID250 M1	1099681	valproic acid 250 MG Oral Capsule	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
80	HEPARIN SO5000 UNIT/	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	B01AB	HEPARIN GROUP	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
81	HEPARIN SO5000 UNIT/	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	C05BA	HEPARINS OR HEPARINOIDS FOR TOPICAL USE	C05B	ANTIVARICOSE THERAPY	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
82	HEPARIN SO5000 UNIT/	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
83	TIROSINT88 MCG	905464	levothyroxine sodium 0.088 MG Oral Capsule [Tirosint]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
84	TIROSINT50 MCG	966426	levothyroxine sodium 0.05 MG Oral Capsule [Tirosint]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
85	SPIRIVA RESPIMAT4 G1	1667880	60 ACTUAT tiotropium 0.00125 MG/ACTUAT Inhalation Spray	69120	tiotropium	R03BB	ANTICHOLINERGICS	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
86	SPIRIVA RESPIMAT4 G1	1667880	60 ACTUAT tiotropium 0.00125 MG/ACTUAT Inhalation Spray	69120	tiotropium	R03AL	ADRENERGICS IN COMBINATION WITH ANTICHOLINERGICS INCL. TRIPLE COMBINATIONS WITH CORTICOSTEROIDS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
87	HEPARIN INJ	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	B01AB	HEPARIN GROUP	B01A	ANTITHROMBOTIC AGENTS	B01	ANTITHROMBOTIC AGENTS	B	BLOOD AND BLOOD FORMING ORGANS
88	HEPARIN INJ	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	C05BA	HEPARINS OR HEPARINOIDS FOR TOPICAL USE	C05B	ANTIVARICOSE THERAPY	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
89	HEPARIN INJ	1659263	1 ML heparin sodium, porcine 5000 UNT/ML Injection	5224	heparin	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
